,iso_code,country,sex,age,year,employment,unemployment,baseline_2020,recovery_score
117,ALB,Albania,Total,15+,2024,57.164,10.689,52.458,4.706000000000003
118,ALB,Albania,Total,15-24,2024,29.121,25.582,26.233,2.887999999999998
119,ALB,Albania,Total,25+,2024,62.25,9.147,58.217,4.033000000000001
120,ALB,Albania,Male,15+,2024,62.801,10.44,59.136,3.664999999999999
121,ALB,Albania,Male,15-24,2024,32.945,24.859,31.266,1.679000000000002
122,ALB,Albania,Male,25+,2024,68.624,8.801,65.619,3.0049999999999955
123,ALB,Albania,Female,15+,2024,51.77,10.977,46.06,5.710000000000001
124,ALB,Albania,Female,15-24,2024,24.982,26.589,20.938,4.0440000000000005
125,ALB,Albania,Female,25+,2024,56.287,9.538,51.272,5.015000000000001
126,ALB,Albania,Total,15+,2023,57.066,10.669,52.458,4.608000000000004
127,ALB,Albania,Total,15-24,2023,29.153,25.41,26.233,2.919999999999998
128,ALB,Albania,Total,25+,2023,62.346,9.08,58.217,4.128999999999998
129,ALB,Albania,Male,15+,2023,62.767,10.42,59.136,3.6310000000000002
130,ALB,Albania,Male,15-24,2023,33.047,24.686,31.266,1.7809999999999988
131,ALB,Albania,Male,25+,2023,68.799,8.735,65.619,3.180000000000007
132,ALB,Albania,Female,15+,2023,51.612,10.957,46.06,5.552
133,ALB,Albania,Female,15-24,2023,24.956,26.421,20.938,4.018000000000001
134,ALB,Albania,Female,25+,2023,56.309,9.471,51.272,5.036999999999999
135,ALB,Albania,Total,15+,2022,55.457,10.785,52.458,2.9990000000000023
136,ALB,Albania,Total,15-24,2022,28.9,24.543,26.233,2.666999999999998
137,ALB,Albania,Total,25+,2022,60.69,9.232,58.217,2.472999999999999
138,ALB,Albania,Male,15+,2022,61.088,10.397,59.136,1.9519999999999982
139,ALB,Albania,Male,15-24,2022,32.702,23.683,31.266,1.436
140,ALB,Albania,Male,25+,2022,67.076,8.763,65.619,1.4569999999999936
141,ALB,Albania,Female,15+,2022,50.07,11.234,46.06,4.009999999999998
142,ALB,Albania,Female,15-24,2022,24.823,25.725,20.938,3.8850000000000016
143,ALB,Albania,Female,25+,2022,54.716,9.764,51.272,3.4440000000000026
144,ALB,Albania,Total,15+,2021,52.836,11.474,52.458,0.3780000000000001
145,ALB,Albania,Total,15-24,2021,26.414,27.089,26.233,0.18100000000000094
146,ALB,Albania,Total,25+,2021,58.319,9.655,58.217,0.10200000000000387
147,ALB,Albania,Male,15+,2021,59.571,11.307,59.136,0.43499999999999517
148,ALB,Albania,Male,15-24,2021,30.531,25.357,31.266,-0.7349999999999994
149,ALB,Albania,Male,25+,2021,65.992,9.566,65.619,0.37300000000000466
150,ALB,Albania,Female,15+,2021,46.389,11.678,46.06,0.3290000000000006
151,ALB,Albania,Female,15-24,2021,22.039,29.497,20.938,1.1010000000000026
152,ALB,Albania,Female,25+,2021,51.133,9.763,51.272,-0.1389999999999958
153,ALB,Albania,Total,15+,2020,52.458,11.639,52.458,0.0
154,ALB,Albania,Total,15-24,2020,26.233,26.422,26.233,0.0
155,ALB,Albania,Total,25+,2020,58.217,9.846,58.217,0.0
156,ALB,Albania,Male,15+,2020,59.136,11.466,59.136,0.0
157,ALB,Albania,Male,15-24,2020,31.266,26.825,31.266,0.0
158,ALB,Albania,Male,25+,2020,65.619,9.358,65.619,0.0
159,ALB,Albania,Female,15+,2020,46.06,11.85,46.06,0.0
160,ALB,Albania,Female,15-24,2020,20.938,25.781,20.938,0.0
161,ALB,Albania,Female,25+,2020,51.272,10.426,51.272,0.0
162,ARE,United Arab Emirates,Total,15+,2025,76.885,2.174,75.398,1.487000000000009
163,ARE,United Arab Emirates,Total,15-24,2025,44.253,6.451,33.287,10.966000000000001
164,ARE,United Arab Emirates,Total,25+,2025,82.701,1.746,83.876,-1.1750000000000114
165,ARE,United Arab Emirates,Male,15+,2025,90.1,1.584,85.469,4.631
166,ARE,United Arab Emirates,Male,15-24,2025,58.732,4.654,39.365,19.366999999999997
167,ARE,United Arab Emirates,Male,25+,2025,94.977,1.278,93.333,1.6440000000000055
168,ARE,United Arab Emirates,Female,15+,2025,50.808,4.185,54.854,-4.045999999999999
169,ARE,United Arab Emirates,Female,15-24,2025,23.38,12.431,24.774,-1.394000000000002
170,ARE,United Arab Emirates,Female,25+,2025,57.002,3.342,62.956,-5.954000000000001
171,ARE,United Arab Emirates,Total,15+,2024,76.789,2.16,75.398,1.3910000000000053
172,ARE,United Arab Emirates,Total,15-24,2024,43.992,6.425,33.287,10.704999999999998
173,ARE,United Arab Emirates,Total,25+,2024,82.748,1.727,83.876,-1.1280000000000001
174,ARE,United Arab Emirates,Male,15+,2024,90.179,1.528,85.469,4.710000000000008
175,ARE,United Arab Emirates,Male,15-24,2024,59.021,4.331,39.365,19.656
176,ARE,United Arab Emirates,Male,25+,2024,95.003,1.249,93.333,1.6700000000000017
177,ARE,United Arab Emirates,Female,15+,2024,50.237,4.345,54.854,-4.616999999999997
178,ARE,United Arab Emirates,Female,15-24,2024,23.268,13.08,24.774,-1.5060000000000002
179,ARE,United Arab Emirates,Female,25+,2024,56.678,3.393,62.956,-6.278000000000006
180,ARE,United Arab Emirates,Total,15+,2023,76.681,2.151,75.398,1.2830000000000013
181,ARE,United Arab Emirates,Total,15-24,2023,43.958,6.351,33.287,10.671
182,ARE,United Arab Emirates,Total,25+,2023,82.957,1.703,83.876,-0.9190000000000111
183,ARE,United Arab Emirates,Male,15+,2023,90.017,1.523,85.469,4.548000000000002
184,ARE,United Arab Emirates,Male,15-24,2023,58.899,4.279,39.365,19.534
185,ARE,United Arab Emirates,Male,25+,2023,95.07,1.237,93.333,1.7369999999999948
186,ARE,United Arab Emirates,Female,15+,2023,50.075,4.34,54.854,-4.778999999999996
187,ARE,United Arab Emirates,Female,15-24,2023,23.468,12.846,24.774,-1.306000000000001
188,ARE,United Arab Emirates,Female,25+,2023,56.863,3.346,62.956,-6.0930000000000035
189,ARE,United Arab Emirates,Total,15+,2022,75.023,2.872,75.398,-0.375
190,ARE,United Arab Emirates,Total,15-24,2022,36.869,9.992,33.287,3.5820000000000007
191,ARE,United Arab Emirates,Total,25+,2022,82.687,2.179,83.876,-1.1890000000000072
192,ARE,United Arab Emirates,Male,15+,2022,87.925,1.526,85.469,2.456000000000003
193,ARE,United Arab Emirates,Male,15-24,2022,46.856,5.827,39.365,7.491
194,ARE,United Arab Emirates,Male,25+,2022,94.946,1.146,93.333,1.6129999999999995
195,ARE,United Arab Emirates,Female,15+,2022,49.121,7.418,54.854,-5.732999999999997
196,ARE,United Arab Emirates,Female,15-24,2022,22.928,20.074,24.774,-1.846
197,ARE,United Arab Emirates,Female,25+,2022,56.082,5.797,62.956,-6.874000000000002
198,ARE,United Arab Emirates,Total,15+,2021,74.661,3.105,75.398,-0.7369999999999948
199,ARE,United Arab Emirates,Total,15-24,2021,39.566,9.737,33.287,6.2790000000000035
200,ARE,United Arab Emirates,Total,25+,2021,81.732,2.406,83.876,-2.1440000000000055
201,ARE,United Arab Emirates,Male,15+,2021,88.241,2.188,85.469,2.7720000000000056
202,ARE,United Arab Emirates,Male,15-24,2021,51.052,6.939,39.365,11.686999999999998
203,ARE,United Arab Emirates,Male,25+,2021,94.608,1.725,93.333,1.2750000000000057
204,ARE,United Arab Emirates,Female,15+,2021,47.214,6.418,54.854,-7.640000000000001
205,ARE,United Arab Emirates,Female,15-24,2021,23.5,17.292,24.774,-1.274000000000001
206,ARE,United Arab Emirates,Female,25+,2021,53.564,4.95,62.956,-9.392000000000003
207,ARE,United Arab Emirates,Total,15+,2020,75.398,4.294,75.398,0.0
208,ARE,United Arab Emirates,Total,15-24,2020,33.287,13.482,33.287,0.0
209,ARE,United Arab Emirates,Total,25+,2020,83.876,3.475,83.876,0.0
210,ARE,United Arab Emirates,Male,15+,2020,85.469,3.837,85.469,0.0
211,ARE,United Arab Emirates,Male,15-24,2020,39.365,11.986,39.365,0.0
212,ARE,United Arab Emirates,Male,25+,2020,93.333,3.193,93.333,0.0
213,ARE,United Arab Emirates,Female,15+,2020,54.854,5.717,54.854,0.0
214,ARE,United Arab Emirates,Female,15-24,2020,24.774,16.635,24.774,0.0
215,ARE,United Arab Emirates,Female,25+,2020,62.956,4.39,62.956,0.0
216,ARG,Argentina,Total,15+,2025,57.489,7.145,49.602,7.8870000000000005
217,ARG,Argentina,Total,15-24,2025,31.316,19.188,23.022,8.294
218,ARG,Argentina,Total,25+,2025,63.822,5.473,56.33,7.492000000000004
219,ARG,Argentina,Male,15+,2025,67.079,6.397,58.819,8.259999999999991
220,ARG,Argentina,Male,15-24,2025,35.595,17.83,27.776,7.818999999999999
221,ARG,Argentina,Male,25+,2025,75.098,4.798,67.098,8.0
222,ARG,Argentina,Female,15+,2025,48.201,8.136,40.724,7.477000000000004
223,ARG,Argentina,Female,15-24,2025,26.814,21.011,18.047,8.767
224,ARG,Argentina,Female,25+,2025,53.117,6.365,46.174,6.942999999999998
225,ARG,Argentina,Total,15+,2024,57.439,7.15,49.602,7.837000000000003
